,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
66,Bojan Bogdanovic,SF,Utah Jazz,19550000.0,18700000.0,17850000.0,17000000.0,10500000.0,10500000.0,3730653.0,3425510.0,3278000.0,,,,,,,,,
67,Lonzo Ball,PG,Chicago Bulls,19534884.0,18604651.0,11003782.0,8719320.0,7461960.0,6286560.0,,,,,,,,,,,,
68,Eric Bledsoe,SG,Portland Trail Blazers,19375000.0,18125000.0,16875000.0,15625000.0,15000000.0,15000000.0,14000000.0,13500000.0,13000000.0,2626474.0,2626473.0,1596360.0,1485000.0,,,,,
69,Caris LeVert,SG,Cleveland Cavaliers,18796296.0,17500000.0,16203704.0,2625718.0,1702800.0,1702800.0,1562280.0,,,,,,,,,,,
70,Clint Capela,C,Atlanta Hawks,18706896.0,18603448.0,16000000.0,14896552.0,13793104.0,2334528.0,1296240.0,1242720.0,1189200.0,,,,,,,,,
71,Joe Harris,SF,Brooklyn Nets,18642857.0,17357143.0,16071429.0,7666667.0,8333333.0,,980431.0,845059.0,884879.0,,,,,,,,,
72,Domantas Sabonis,PF,Sacramento Kings,18500000.0,19800000.0,19800000.0,3529555.0,2659800.0,2659800.0,2440200.0,,,,,,,,,,,
73,Harrison Barnes,SF,Sacramento Kings,18352273.0,20284091.0,22215909.0,24147727.0,24107258.0,23112004.0,22116750.0,3873398.0,3049920.0,2923920.0,2798040.0,,,,,,,
74,Evan Fournier,SG,New York Knicks,18000000.0,17000000.0,17150000.0,17150000.0,17150000.0,17000000.0,17000000.0,2288205.0,1483920.0,1422720.0,1361400.0,,,,,,,
75,Myles Turner,C,Indiana Pacers,18000000.0,18000000.0,18000000.0,18000000.0,3410284.0,3410284.0,2463840.0,2357760.0,,,,,,,,,,
76,Bogdan Bogdanovic,SG,Atlanta Hawks,18000000.0,18000000.0,18000000.0,8529386.0,9000000.0,9412280.0,,,,,,,,,,,,
